name,RA_1,Dec_1,REDSHIFT_1,PLATE_1,FIBER_1,MJD_1,UNIFORM_TARGET,MI_Z2,LOGLBOL,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL_MGII,EW_MGII,LOGL_BROAD_MGII,EW_BROAD_MGII,LOGL_CIV,EW_CIV,VOFF_CIV_PEAK,LOGEDD_RATIO,Z_HW,E_BV
103437.49-005300.2,158.656223,-0.8834040000000001,2.041100025177002,273,7,51957,0,-27.3421074946931,46.92949941791947,0,0,0.0,-26.842584257292366,-1.0,44.10907599158275,22.181852741962853,44.06677875904612,20.015073015041043,44.4927552992334,21.73026439748049,1661.6600141409976,-0.9623068118747611,2.043892,0.0650562047958374
104243.12-001706.0,160.679706,-0.285023,1.9672000408172607,274,106,51913,0,-27.87172825094437,47.185059701031655,0,0,0.0,-26.601965154440254,-1.0,44.44595041960262,27.74438635787326,44.428984721233086,26.681449860289263,44.8408850715535,29.890287729085347,305.75487618353753,-0.28031322524219604,1.976759,0.04655266925692558
103421.22-003732.3,158.58842099999998,-0.6256470000000001,1.7214000225067139,274,301,51913,0,-26.75043205963832,46.65481523292798,0,0,0.0,-26.94240165853067,-1.0,44.08671926786047,36.98178663360749,44.050836951273745,34.04909490963602,44.658394707274674,44.801758611419686,637.2916914231328,-0.5477351116765519,1.725219,0.06816065311431885
103744.44+002809.2,159.435201,0.469243,1.732699990272522,274,357,51913,0,-27.4279152835296,47.091758281162086,0,0,0.0,-26.565768576723485,-1.0,44.33761074973214,25.288859074539765,44.33761074973214,25.288859074539765,44.865167379165165,39.79591373091327,1000.490717600353,-0.964707349012933,1.727624,0.06319659948348999
104913.35-010013.6,162.305657,-1.003801,1.999899983406067,275,8,51910,0,-27.030232522560066,46.696399703942674,0,0,0.0,-27.029622749295548,-1.0,44.105848799390465,34.470937498357905,44.02916596443395,28.89151129093748,44.617429938668415,51.93356592992217,-476.4129187071466,-0.17567671647177718,2.007487,0.0455612950026989
104828.81-005747.0,162.120046,-0.963066,1.7354999780654907,275,51,51910,0,-27.357230156081865,46.944878605011354,0,0,0.0,-26.66106118313872,-1.0,44.14782959158629,21.87220991023543,44.14651444141112,21.806075681684085,44.51975371829001,17.59983410841168,1448.5396056182785,-0.4069407947115593,1.749359,0.04044245183467865
104400.65+005054.1,161.00274299999998,0.8483780000000001,1.712499976158142,275,417,51910,0,-27.149917564942044,46.72419776611957,0,0,0.0,-26.909914644320825,-1.0,44.21622851044168,44.02855269250043,44.20319849175075,42.72719580040103,44.72421978510144,60.93004770121071,1341.9222768098298,-0.8819824402053982,1.705523,0.046101950109004974
104728.94+010103.6,161.87059,1.017676,1.7719999551773071,275,533,51910,0,-26.392941545503113,46.43704517311668,0,0,0.0,-27.14971281436393,-1.0,43.97239140833415,45.57322828816921,43.95032674915789,43.31567981360988,44.55977733264726,47.56829632440294,316.4553449927634,-0.5182059290389418,1.768904,0.04523954167962074
105843.42-001847.7,164.680936,-0.313258,1.9256999492645264,276,30,51909,0,-26.93714639246112,46.9077948930402,0,0,0.0,-26.925123284299286,-1.0,44.13243824741663,31.74749228415349,44.09995269701126,29.485544961673266,44.592246333496306,32.165696467113996,594.5333793322817,-0.5749055836249681,1.926631,0.038179896771907806
105338.37-002804.3,163.409895,-0.467884,1.8387999534606934,276,155,51909,0,-27.139170975698875,46.855341936963605,0,0,0.0,-26.837193248370117,-1.0,44.03774547002734,21.62497700389245,44.033622750409116,21.42066428002392,44.55177373360678,26.5015482249093,412.7423614718463,-0.268094063562728,1.843475,0.04587501287460327
104948.31+005910.9,162.451299,0.9863790000000001,1.7391999959945679,276,321,51909,0,-26.4890842134162,46.65417054876187,0,0,0.0,-26.992955499889025,-1.0,43.98661270589067,30.508952919672055,43.975673513113534,29.75007808432233,44.47490742555133,43.3586271314594,434.13527171652595,-0.7403688859041395,1.739116,0.05021979659795761
104852.52+003230.0,162.218859,0.541673,1.6461999416351318,276,348,51909,0,-27.10448330850406,46.83618372699247,0,0,0.0,-26.761816600528828,-1.0,44.17575313768755,30.86773534545299,44.17095364539091,30.52848662402966,44.6481415384823,43.63308038348018,605.2235302698758,-0.5313676891415398,1.650584,0.0449676513671875
105331.63+004537.0,163.381813,0.7602800000000001,1.7654999494552612,276,526,51909,0,-26.790492035273896,46.61094000890353,0,0,0.0,-27.029510791172754,-1.0,43.99025345969705,33.437399945278734,43.97415549124065,32.22066736098694,44.404387126262705,30.371445739963843,487.61085958027655,-0.7002149993489226,1.766226,0.0507800430059433
105520.00+005759.2,163.833339,0.96645,1.8169000148773193,276,579,51909,0,-26.916051683009908,46.714443985856576,0,0,0.0,-26.97788866773064,-1.0,44.030565162524816,29.66073534746698,44.02790135408051,29.479363711475422,44.64386711412218,52.578449371106736,573.1519315458855,-0.34897075993099946,1.821118,0.04225951060652733
110344.80-005102.7,165.936699,-0.850756,1.7228000164031982,277,59,51908,0,-26.970975492019534,46.77840664037972,0,0,0.0,-26.850864500155293,-1.0,44.01271789366814,24.11890675023944,43.98295096167554,22.540644490625237,44.54544899074366,30.49211727495815,295.05402504000784,-0.6739557483705454,1.725741,0.04346739500761032
110326.49-000705.8,165.860386,-0.11828499999999999,1.8454999923706055,277,117,51908,0,-26.84379677112207,46.741851488121746,0,0,0.0,-26.997400304896278,-1.0,44.00990440988726,27.372255487612676,43.92627522640241,22.577788555301133,44.181631606332644,24.77810640276994,-111.86176335881464,-0.9626682690130579,1.85029,0.0262265894562006
110107.63-005922.1,165.281815,-0.989482,1.7408000230789185,277,204,51908,0,-26.921780521807094,46.75239608794328,0,0,0.0,-26.867556314150697,-1.0,44.10286766820788,31.033433033804354,44.085122185553644,29.790949057390563,44.67842596955147,36.809370604499456,1597.7398818858444,-0.9580193175544736,1.737126,0.04054664075374603
105849.80-011003.1,164.707503,-1.167547,1.7247999906539917,277,246,51908,0,-26.55203871063517,46.57553287896896,0,0,0.0,-27.043568552817526,-1.0,43.94125785583633,32.32566218017576,43.89620496174772,29.087482132076605,44.57276121951223,49.16278920999404,744.1607397674087,-1.1117644892402936,1.727893,0.047013476490974426
105954.00+004647.7,164.975007,0.779917,2.0071001052856445,277,418,51908,0,-27.257497469332456,47.050367722250854,0,0,0.0,-26.775097031215108,-1.0,44.22500334173808,24.9342222507163,44.21231851423961,24.216479021891857,44.7614206408109,32.78758555644811,284.35279154802873,-0.6513863571765555,2.012491,0.03123588301241398
110004.28+005407.7,165.017866,0.9021540000000001,2.028599977493286,277,420,51908,0,-27.23749991222383,46.93515720399668,0,0,0.0,-26.86161353744187,-1.0,44.15391871882626,25.837143407685467,44.11679172250845,23.701124263442082,44.63651853161157,32.493497741811005,262.94917746483605,-0.3895595473814595,2.029288,0.03016716055572033
110603.41+002207.8,166.514243,0.368838,1.659600019454956,277,629,51908,0,-26.71919245397558,46.722909647544505,0,0,0.0,-26.854055877731128,-1.0,44.05004038873731,29.28111095871124,44.04268726182461,28.78951995701141,44.62874315178153,39.96011445377488,402.0453330594685,-0.45728172743201156,1.66555,0.04815039783716202
111225.72-005101.5,168.107204,-0.850434,1.8207000494003296,278,13,51900,0,-27.15182588522073,46.90445139330047,0,0,0.0,-26.792230485321596,-1.0,44.23706623691505,30.88205774719971,44.23557705906215,30.776345790390863,44.50668276730871,26.464678859476702,155.90816150919107,-0.8563227130171143,1.824593,0.04344404861330986
111040.20-005254.6,167.66753799999998,-0.8818360000000001,1.9391000270843506,278,55,51900,0,-26.722211086305826,46.75040194028683,0,0,0.0,-27.077353924368477,-1.0,43.99235650156976,31.155306359332908,43.9755345968644,29.97161335852663,44.45349732901353,34.24099227218611,209.43345020652842,-0.5319692709262469,1.947186,0.040589019656181335
110838.76-005533.7,167.161524,-0.926041,1.8075000047683716,278,123,51900,0,-27.71317161471117,47.08038037044047,0,0,0.0,-26.59337045695002,-1.0,44.277642400483906,22.274105970541203,44.2727636864269,22.02528655737486,44.318093414759616,19.51330475341296,829.6284899951995,-0.8073168024531867,1.815723,0.03838014230132103
110533.17-005848.1,166.388229,-0.98003,1.7408000230789185,278,286,51900,0,-26.996410275635142,46.7814681185607,1,0,0.0,-26.857310893296688,-1.0,44.11876406368966,30.6072655478858,44.11140924873318,30.093293201447004,44.71027906026046,55.074327816352216,402.0453330594685,-0.3949303105056785,1.74562,0.04952326789498329
110725.70+003353.8,166.857107,0.564963,1.871000051498413,278,384,51900,0,-26.956166511435047,46.87789143499806,0,0,0.0,-26.858582119811064,-1.0,44.16391293343535,28.191982145549392,44.14101044984428,26.743800758215425,44.5930692723647,35.78282303370876,-905.8640045284619,-1.0834965902169884,1.885357,0.03518875688314438
112542.29+000101.3,171.426247,0.017039,1.6890000104904175,280,77,51612,0,-27.810355617543514,47.139353742712686,0,1,26.885383401403992,-26.473211370870644,79.93327461665321,44.5734635546941,38.17617221596563,44.5734635546941,38.17617221596563,45.238556556658395,84.89889313635744,-176.16214396998092,0.022440782676547144,1.692305,0.030410680919885635
112413.93+001546.3,171.058061,0.262875,1.868899941444397,280,152,51612,0,-26.99533916389656,46.71287082188298,0,0,0.0,-26.972757041829997,-1.0,44.111380783872946,34.96098675521776,44.10417678099295,34.38584324193051,44.43731771165603,31.775023559765717,583.8428464290001,-0.3586740074656376,1.875945,0.03431450575590134
113225.20-002927.9,173.105021,-0.49110699999999996,2.0190999507904053,281,24,51614,0,-26.966601117348205,46.714724728846726,0,0,0.0,-27.28707912588734,-1.0,44.47458863100446,216.1874589013123,44.44297518831354,198.73993520169796,44.54296414393694,36.359780148778015,989.8146898116302,-0.6211941784538908,2.016309,0.02402513101696968
112506.96-001647.6,171.27900400000001,-0.27989400000000003,1.7698999643325806,281,225,51614,0,-26.508013596683913,46.687720802626984,1,2,59.69451399099371,-26.9981028990335,594.343229435165,43.949952171452196,26.52663106982964,43.916954906652144,24.444566957540427,44.26696702583256,26.602898641968526,1352.5857240191776,-1.6145400954254256,1.748239,0.029886873438954353
112506.75-000800.0,171.278142,-0.13336099999999998,1.9055999517440796,281,232,51614,0,-27.541858986729657,47.0522915629789,0,0,0.0,-26.650394467325476,-1.0,44.374549587274956,29.001617128237484,44.35242661684212,27.56127119015349,44.862150500246145,38.837384599595474,188.0244821959436,-0.6114420251216117,1.91214,0.027676068246364594
