#zbin zmean nqsos gimode ugmode grmode rimode izmode
1.17 1.170 3381 0.279 0.016 0.277 0.008 -0.028
1.18 1.180 3273 0.290 0.029 0.275 0.012 -0.026
1.19 1.190 3323 0.291 0.016 0.270 0.018 -0.040
1.20 1.200 3437 0.303 0.022 0.290 0.014 -0.032
1.21 1.210 3460 0.295 0.012 0.277 0.010 -0.040
1.22 1.220 3575 0.302 -0.011 0.294 0.009 -0.028
1.23 1.230 3534 0.303 0.004 0.294 0.008 -0.031
1.24 1.240 3491 0.302 -0.006 0.287 0.005 -0.029
1.25 1.250 3563 0.302 -0.016 0.298 0.009 -0.020
1.26 1.260 3532 0.313 -0.017 0.299 0.009 -0.034
1.27 1.270 3490 0.309 -0.017 0.308 0.008 -0.033
1.28 1.280 3573 0.317 -0.021 0.302 0.009 -0.021
1.29 1.290 3598 0.310 -0.003 0.293 0.007 -0.022
1.30 1.300 3653 0.309 -0.006 0.295 0.009 -0.015
1.31 1.310 3637 0.312 -0.009 0.290 0.014 -0.004
1.32 1.320 3580 0.293 -0.025 0.290 0.012 -0.018
1.33 1.330 3699 0.317 -0.009 0.295 0.014 -0.008
1.34 1.340 3731 0.314 -0.004 0.299 0.014 -0.009
1.35 1.350 3730 0.323 -0.008 0.294 0.024 -0.008
1.36 1.360 3599 0.308 -0.002 0.278 0.027 -0.006
1.37 1.370 3740 0.306 0.007 0.274 0.028 -0.002
1.38 1.380 3586 0.304 0.007 0.267 0.039 -0.001
1.39 1.390 3619 0.300 0.011 0.252 0.044 -0.007
1.40 1.400 3534 0.308 0.015 0.241 0.063 -0.002
1.41 1.410 3640 0.298 0.029 0.222 0.067 -0.003
1.42 1.420 3573 0.303 0.030 0.222 0.081 0.011
1.43 1.430 3568 0.299 0.034 0.200 0.096 -0.001
1.44 1.440 3599 0.301 0.052 0.188 0.112 0.003
1.45 1.450 3645 0.314 0.076 0.179 0.131 0.008
1.46 1.460 3692 0.313 0.073 0.158 0.142 -0.003
1.47 1.470 3655 0.316 0.093 0.156 0.158 -0.009
1.48 1.480 3676 0.331 0.108 0.154 0.172 -0.019
1.49 1.490 3628 0.337 0.122 0.148 0.182 -0.018
1.50 1.500 3738 0.331 0.149 0.137 0.192 -0.022
1.51 1.510 3631 0.322 0.152 0.129 0.195 -0.023
1.52 1.520 3710 0.334 0.176 0.130 0.210 -0.017
1.53 1.530 3699 0.336 0.184 0.118 0.221 -0.019
1.54 1.540 3637 0.327 0.205 0.104 0.216 -0.018
1.55 1.550 3743 0.328 0.205 0.100 0.229 -0.022
1.56 1.560 3670 0.326 0.207 0.097 0.228 -0.004
1.57 1.570 3832 0.311 0.218 0.092 0.228 -0.005
1.58 1.580 3805 0.301 0.215 0.081 0.227 0.006
1.59 1.590 3676 0.297 0.215 0.075 0.229 0.004
1.60 1.600 3661 0.290 0.201 0.062 0.235 0.011
1.61 1.610 3788 0.297 0.200 0.058 0.239 0.018
1.62 1.620 3664 0.278 0.183 0.049 0.237 0.019
1.63 1.630 3769 0.272 0.174 0.042 0.243 0.017
1.64 1.640 3702 0.283 0.170 0.034 0.251 0.020
1.65 1.650 3808 0.274 0.155 0.032 0.248 0.019
