SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
083742.17+442441.6,129.42572312438804,44.4115630374725,6382,56365,854,1.291,134526,0.9810275150491924,0.29136356758645254,2CXO J083742.1+442442,129.42578674489585,44.411831727161974,2.276276061225065,1.4210942770681658,4.747305025507501,3.2941176470587603,TRUE,false,false,false,5.4329612799729E-15,2.1445899789367E-15,8.7213325810091E-15,,,,5.4329612799729E-15,2.1445899789367E-15,8.7213325810091E-15,,,,0.9810214050350206
083744.82+540757.5,129.43675874482028,54.13266298843935,7277,56748,80,2.2030000000000003,134561,0.6376929953821211,0.05425675522937268,2CXO J083744.7+540756,129.43664634418923,54.13249854799853,0.8120618958555664,0.7540638790783758,28.818993436366554,5.635764369138629,TRUE,false,false,false,4.25812588416E-14,3.5066651030589E-14,5.0095866652612E-14,,,,4.25812588416E-14,3.5066651030589E-14,5.0095866652612E-14,,,,0.6376958918846701
083749.59+364145.5,129.45664835571077,36.695991749104756,8858,57450,148,3.395,134621,0.08849576975352208,0.7678859229680584,2CXO J083749.6+364145,129.45667015831896,36.6960090229994,0.7339384032744237,0.7331012750514941,87.27315193443184,3.5428571428574305,TRUE,false,false,false,2.1889230108104E-14,1.5887344433301E-14,2.7891115782907E-14,,,,2.1889230108104E-14,1.5887344433301E-14,2.7891115782907E-14,,,,0.0884749062990677
083753.93+552529.2,129.4747360505172,55.42479812077809,7374,56751,226,1.199,134674,1.573069155237338,0.4828063174170931,2CXO J083754.0+552530,129.47515325994476,55.425165383675285,5.486836037021826,4.35200139652912,84.84048898569506,3.636363636363504,TRUE,false,false,false,8.3425085204023E-14,5.8099612909944E-14,1.087505574981E-13,,,,8.3425085204023E-14,5.8099612909944E-14,1.087505574981E-13,,,,1.5730695698242365
083755.25+441156.5,129.48021083408165,44.199044963307344,6783,56284,613,1.35,134695,0.35287380946925345,0.26440121228383695,2CXO J083755.2+441156,129.48018824204416,44.19914163446679,0.7741176655713645,0.7528727766894286,109.964084185366,9.538540508639445,TRUE,false,false,false,7.435694427732E-14,6.5810068518812E-14,8.2401062638269E-14,,,,7.435694427732E-14,6.5810068518812E-14,8.2401062638269E-14,,,,0.35286697614396845
083756.42+145902.2,129.48509216308594,14.983954429626465,2427,53815,517,0.768,134713,1.3649279042330036,0.024556430598384416,2CXO J083756.4+145903,129.4853659830444,14.984226065803876,1.48896785166632,1.1886718428105592,78.65215682874629,5.4117647058823986,TRUE,false,false,false,3.1156005035083E-14,2.4783185823361E-14,3.7174778735042E-14,,,,3.1156005035083E-14,2.4783185823361E-14,3.7174778735042E-14,,,,1.3649244917339334
083806.28+540245.6,129.52620532864387,54.04600372663649,5156,55925,156,2.847,134831,0.5756062648930008,0.32747663859492404,2CXO J083806.2+540245,129.5260679996561,54.0458656557008,1.4390688354105219,0.9969707662656839,149.70550941793257,4.944444444444755,TRUE,false,false,false,5.4006758705883E-14,4.3084043461996E-14,6.4929473949769E-14,,,,5.4006758705883E-14,4.3084043461996E-14,6.4929473949769E-14,,,,0.5756051955122867
083807.23+540723.5,129.5301428033118,54.12319494598571,7277,56748,78,1.47,134845,0.7294570086005228,0.019138564030702798,2CXO J083807.1+540723,129.52986820303147,54.123071822896286,0.7637855925640388,0.7619776434736618,2.049947375768454,4.125000000000017,TRUE,false,false,false,1.9262478103893E-14,1.4592786442344E-14,2.3932169765443E-14,,,,1.9262478103893E-14,1.4592786442344E-14,2.3932169765443E-14,,,,0.7294525494129661
083810.08+195002.6,129.54200857473535,19.834069032954726,4484,55565,142,2.175,134889,0.4648638741567627,0.25105861088018055,2CXO J083810.0+195003,129.54207518666158,19.834181937791836,0.9916264001967943,0.8902855637208789,175.26432962950489,4.48648648648647,TRUE,false,false,false,2.5673288775275E-14,1.9724599912711E-14,3.1308888750335E-14,,,,2.5673288775275E-14,1.9724599912711E-14,3.1308888750335E-14,,,,0.4648578916131213
083815.07+441923.2,129.56282431098813,44.323114278937474,8280,57061,763,2.531,134957,0.4577888115221733,0.2677782669189026,2CXO J083815.0+441923,129.56287562949308,44.32323603009993,1.0113879253469047,0.8884426271914985,55.48616311944065,4.594594594594555,TRUE,false,false,false,2.0853579901022E-14,1.6079868839342E-14,2.5376043012087E-14,,,,2.0853579901022E-14,1.6079868839342E-14,2.5376043012087E-14,,,,0.45779838842837817
083820.34+364911.2,129.58477244725532,36.81978796389231,8858,57450,152,1.4594296999999998,135011,1.7901990963235934,0.1199718069524035,2CXO J083820.4+364909,129.58500352732574,36.819326373749654,2.8202387074183988,2.3158953011070267,65.7265852305583,4.062500000000421,TRUE,false,false,false,5.4005225962962E-14,4.0068393456391E-14,6.7942058469532E-14,,,,5.4005225962962E-14,4.0068393456391E-14,6.7942058469532E-14,,,,1.7902000669931795
083830.26+195626.7,129.62608530849542,19.940764252819182,4484,55565,118,0.691,135132,0.45588634730312444,0.3231935574989542,2CXO J083830.2+195627,129.6261228554274,19.94088587122281,1.1297179432601467,0.9611440265659413,18.684812879035434,5.906764415490235,TRUE,false,false,false,2.1661090593214E-14,1.7701536398756E-14,2.5620644787672E-14,,,,2.1661090593214E-14,1.7701536398756E-14,2.5620644787672E-14,,,,0.45589179535226954
