SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
083205.23+182235.4,128.0218323681048,18.376504036153623,4489,55545,770,2.219,130487,1.7034262426710531,0.6014096728041024,2CXO J083205.2+182237,128.0216875115484,18.37695680098185,7.9820397409821116,5.661266138894175,67.64321645462445,2.3783783783782666,MARGINAL,false,false,false,1.9870572299538E-14,6.6235240998461E-15,3.311762049923E-14,,,,1.9870572299538E-14,6.6235240998461E-15,3.311762049923E-14,,,,1.7034272011249154
083205.26+524351.6,128.02194438627103,52.73102419429343,7277,56748,247,2.144,130490,0.015057430481893489,0.9600919218386288,2CXO J083205.2+524351,128.02194610706601,52.73102812660878,0.7365723448978116,0.7275845325494077,69.84095522211982,16.94260780728324,TRUE,false,false,false,3.1915698433904E-14,3.0051198611409E-14,3.3655898268232E-14,,,,3.1915698433904E-14,3.0051198611409E-14,3.3655898268232E-14,,,,0.014644945196043209
083205.95+524359.2,128.02482604980472,52.73311233520508,444,51883,175,1.5727,130500,0.2008441485644509,0.5327106113741551,2CXO J083205.9+524359,128.02474662724376,52.73308407063427,0.7880267056822287,0.7427793958392378,56.9555464268671,12.079906513707622,TRUE,false,false,false,1.358503918848E-14,1.2281266443946E-14,1.4812119418631E-14,,,,1.0845142883834E-14,9.7911354081589E-15,1.1828883194463E-14,,,,0.20082026766976646
083218.25+523725.1,128.07607516906174,52.62364168318074,7302,57012,652,1.1991656000000002,130642,1.4696108718465861,0.3848428779694947,2CXO J083218.1+523724,128.07551390198853,52.62341682651149,4.139872951487048,2.2868510232443655,113.25141226678782,3.470588235294038,TRUE,false,false,false,1.5040632184136E-14,9.5155019940453E-15,2.0258810697E-14,,,,1.5040632184136E-14,9.5155019940453E-15,2.0258810697E-14,,,,1.469613943018304
083237.21+330251.3,128.15504430884025,33.047610401411745,4445,55622,638,2.112,130884,0.25617921784576125,0.587028506034291,2CXO J083237.1+330251,128.1549803256413,33.047563635120945,1.1545156546367215,0.9008918648819115,66.720593424772,6.615384615384814,TRUE,false,false,false,3.6665155654458E-15,2.6336942794048E-15,4.6993368514869E-15,,,,4.6655882094246E-15,3.6102765906262E-15,5.6653571114442E-15,,,,0.2561688475367243
083238.84+181115.3,128.16184997558594,18.187593460083008,2275,53709,126,1.0438,130906,0.8943129257769478,0.4413028729730859,2CXO J083238.8+181114,128.16167616283133,18.187407868680832,2.8431164152153676,1.808614075238879,45.626219674645256,9.051776898302693,TRUE,false,false,false,1.336683332878E-13,1.1094198839102E-13,1.5639467818458E-13,,,,1.336683332878E-13,1.1094198839102E-13,1.5639467818458E-13,,,,0.8943068646084542
083241.20+181903.6,128.1716676651313,18.31766828307921,4489,55545,779,2.398,130936,1.33656431599101,0.06764840924474391,2CXO J083241.1+181902,128.17159940735496,18.3173027147204,1.79246467178286,1.79246467178286,0.0,2.6666666666666816,TRUE,false,false,false,1.0189967001863E-14,5.7595465662704E-15,1.4398866415676E-14,,,,1.0189967001863E-14,5.7595465662704E-15,1.4398866415676E-14,,,,1.336561038470671
083255.63+182300.7,128.23180180068806,18.383538871622537,4489,55545,802,2.274,131100,0.11124510076466089,0.7104239597129759,2CXO J083255.6+182300,128.23181564515517,18.38351089654675,0.7333975988892387,0.7311399415440544,170.00034751029682,6.7109117767840285,TRUE,false,false,false,5.9885322570057E-14,5.0872291583047E-14,6.8898353557067E-14,,,,5.9885322570057E-14,5.0872291583047E-14,6.8898353557067E-14,,,,0.11126331602829048
083318.30+331350.6,128.32626342773438,33.23073196411133,933,52642,286,2.1024,131354,0.3662728347145372,0.6286730261971879,2CXO J083318.2+331350,128.32624644942035,33.23083271660995,1.8539303945370904,1.6009519829172636,163.04776829054336,5.199999999999669,TRUE,false,false,false,6.7688868481583E-15,4.2448951420654E-15,9.2928785542512E-15,,,,6.7688868481583E-15,4.2448951420654E-15,9.2928785542512E-15,,,,0.3662946227515819
083322.54+331058.4,128.34391784667972,33.18289566040039,933,52642,285,2.1876,131414,0.37715031181665754,0.4178745814440161,2CXO J083322.5+331058,128.34397416005197,33.18298922150455,1.1396379490266646,0.8064878851039851,172.93472877260476,12.65801712555185,TRUE,false,false,false,2.6888410611871E-14,2.4091251333766E-14,2.9685569889976E-14,,,,2.0779972181826E-14,1.8643209354789E-14,2.2916735008862E-14,,,,0.37714077981364896
083338.53+331853.0,128.4105702981225,33.314737759732296,4445,55869,670,0.9540000000000001,131611,0.9504089811582935,0.17804788231255753,2CXO J083338.5+331853,128.4107482677822,33.314955887318135,1.7281318121047728,1.2579609805256118,149.27968876287443,18.36626812378011,TRUE,false,false,false,1.2280437875292E-13,1.0602719728534E-13,1.3859466719298E-13,,,,1.0154967794194E-13,9.056817002221E-14,1.1184484161669E-13,,,,0.9504148816094437
083350.65+554215.7,128.4610819789204,55.704380678295784,7374,56751,391,0.358,131731,0.18784106807110668,0.6604804838499629,2CXO J083350.6+554215,128.46100731539514,55.704411550349256,1.0467631014687317,0.9834521451685703,114.58150760305494,28.366344163791744,TRUE,false,false,false,1.4903382412116E-13,1.4164284814421E-13,1.5642480009811E-13,,,,1.4903382412116E-13,1.4164284814421E-13,1.5642480009811E-13,,,,0.18785577317174448
083416.21+554244.3,128.56754247987465,55.71232774281013,7374,56751,360,2.372,132032,0.3680995149074037,0.5817406140529724,2CXO J083416.2+554244,128.56750802803845,55.7124281361578,1.635725503368646,1.074771674440442,177.28030587067855,7.6286498957151405,TRUE,false,false,false,2.0163334922964E-14,1.6437501295894E-14,2.3670001866088E-14,,,,2.0163334922964E-14,1.6437501295894E-14,2.3670001866088E-14,,,,0.36810785341166063
083417.29+554206.9,128.5720481395141,55.70191758674651,7375,56981,9,0.60929775,132044,0.5062466224086534,0.14155145837487748,2CXO J083417.2+554207,128.57207534262596,55.70205737041642,0.8434636648317985,0.8039655035147025,7.252731427646808,24.715934692261694,TRUE,false,false,false,7.9144937802161E-14,7.5746725627292E-14,8.2543149977029E-14,,,,7.9144937802161E-14,7.5746725627292E-14,8.2543149977029E-14,,,,0.5062379472409465
083424.58+554147.2,128.60242972221434,55.69644526974036,7374,56751,358,1.321,132130,0.6445301414605543,0.3745114438276572,2CXO J083424.5+554147,128.60231992023506,55.69661327203124,1.7767055481942289,1.3630412669557417,7.876854030971771,6.218535998069482,TRUE,false,false,false,1.1240303557543E-14,8.8600039806513E-15,1.3488364269051E-14,,,,1.1240303557543E-14,8.8600039806513E-15,1.3488364269051E-14,,,,0.644531951748349
